# start, end, pivot, particles, density
0.00000e+00, 1.45142e-05, 7.25710e-06, 6.11498e-14, 4.21310e-09
1.45142e-05, 3.04798e-05, 2.24970e-05, 5.05138e-13, 3.16391e-08
3.04798e-05, 4.80420e-05, 3.92609e-05, 1.65112e-12, 9.40158e-08
4.80420e-05, 6.73604e-05, 5.77012e-05, 3.89451e-12, 2.01596e-07
6.73604e-05, 8.86106e-05, 7.79855e-05, 7.80043e-12, 3.67075e-07
8.86106e-05, 1.11986e-04, 1.00298e-04, 1.41685e-11, 6.06132e-07
1.11986e-04, 1.37699e-04, 1.24842e-04, 2.41208e-11, 9.38087e-07
1.37699e-04, 1.65983e-04, 1.51841e-04, 3.92215e-11, 1.38670e-06
1.65983e-04, 1.97095e-04, 1.81539e-04, 6.16381e-11, 1.98114e-06
1.97095e-04, 2.31319e-04, 2.14207e-04, 9.43601e-11, 2.75716e-06
2.31319e-04, 2.68965e-04, 2.50142e-04, 1.41493e-10, 3.75851e-06
2.68965e-04, 3.10376e-04, 2.89670e-04, 2.08657e-10, 5.03871e-06
3.10376e-04, 3.55927e-04, 3.33152e-04, 3.03515e-10, 6.66309e-06
3.55927e-04, 4.06034e-04, 3.80981e-04, 4.36499e-10, 8.71135e-06
4.06034e-04, 4.61152e-04, 4.33593e-04, 6.21763e-10, 1.12806e-05
4.61152e-04, 5.21781e-04, 4.91467e-04, 8.78478e-10, 1.44893e-05
5.21781e-04, 5.88474e-04, 5.55128e-04, 1.23256e-09, 1.84814e-05
5.88474e-04, 6.61835e-04, 6.25155e-04, 1.71900e-09, 2.34319e-05
6.61835e-04, 7.42533e-04, 7.02184e-04, 2.38493e-09, 2.95538e-05
7.42533e-04, 8.31301e-04, 7.86917e-04, 3.29379e-09, 3.71058e-05
8.31301e-04, 9.28945e-04, 8.80123e-04, 4.53085e-09, 4.64016e-05
9.28945e-04, 1.03635e-03, 9.82649e-04, 6.21064e-09, 5.78225e-05
1.03635e-03, 1.15450e-03, 1.09543e-03, 8.48675e-09, 7.18306e-05
1.15450e-03, 1.28447e-03, 1.21949e-03, 1.15650e-08, 8.89862e-05
1.28447e-03, 1.42743e-03, 1.35595e-03, 1.57212e-08, 1.09969e-04
1.42743e-03, 1.58469e-03, 1.50606e-03, 2.13241e-08, 1.35600e-04
1.58469e-03, 1.75767e-03, 1.67118e-03, 2.88671e-08, 1.66879e-04
1.75767e-03, 1.94795e-03, 1.85281e-03, 3.90094e-08, 2.05009e-04
1.94795e-03, 2.15726e-03, 2.05260e-03, 5.26313e-08, 2.51453e-04
2.15726e-03, 2.38750e-03, 2.27238e-03, 7.09081e-08, 3.07975e-04
2.38750e-03, 2.64076e-03, 2.51413e-03, 9.54074e-08, 3.76711e-04
2.64076e-03, 2.91935e-03, 2.78006e-03, 1.28220e-07, 4.60245e-04
2.91935e-03, 3.22580e-03, 3.07258e-03, 1.72131e-07, 5.61695e-04
3.22580e-03, 3.56290e-03, 3.39435e-03, 2.30853e-07, 6.84832e-04
3.56290e-03, 3.93370e-03, 3.74830e-03, 3.09327e-07, 8.34205e-04
