# start, end, pivot, particles, density
1.21326e-01, 1.45591e-01, 1.33459e-01, 8.47273e-06, 3.49171e-04
1.45591e-01, 1.74710e-01, 1.60151e-01, 1.71028e-05, 5.87354e-04
1.74710e-01, 2.09652e-01, 1.92181e-01, 3.43379e-05, 9.82711e-04
2.09652e-01, 2.51582e-01, 2.30617e-01, 6.84981e-05, 1.63362e-03
2.51582e-01, 3.01899e-01, 2.76740e-01, 1.35588e-04, 2.69471e-03
3.01899e-01, 3.62278e-01, 3.32088e-01, 2.65909e-04, 4.40394e-03
3.62278e-01, 4.34734e-01, 3.98506e-01, 5.15708e-04, 7.11757e-03
4.34734e-01, 5.21681e-01, 4.78207e-01, 9.86899e-04, 1.13506e-02
5.21681e-01, 6.26017e-01, 5.73849e-01, 1.85857e-03, 1.78133e-02
6.26017e-01, 7.51221e-01, 6.88619e-01, 3.43350e-03, 2.74233e-02
7.51221e-01, 9.01465e-01, 8.26343e-01, 6.19842e-03, 4.12556e-02
9.01465e-01, 1.08176e+00, 9.91611e-01, 1.08848e-02, 6.03726e-02
1.08176e+00, 1.29811e+00, 1.18993e+00, 1.84911e-02, 8.54676e-02
1.29811e+00, 1.55773e+00, 1.42792e+00, 3.01891e-02, 1.16281e-01
1.55773e+00, 1.86928e+00, 1.71350e+00, 4.69958e-02, 1.50847e-01
1.86928e+00, 2.24313e+00, 2.05621e+00, 6.91025e-02, 1.84837e-01
2.24313e+00, 2.69176e+00, 2.46745e+00, 9.48975e-02, 2.11529e-01
2.69176e+00, 3.23011e+00, 2.96094e+00, 1.20085e-01, 2.23061e-01
3.23011e+00, 3.87613e+00, 3.55312e+00, 1.37787e-01, 2.13285e-01
3.87613e+00, 4.65136e+00, 4.26375e+00, 1.40630e-01, 1.81405e-01
4.65136e+00, 5.58163e+00, 5.11650e+00, 1.24787e-01, 1.34140e-01
5.58163e+00, 6.69796e+00, 6.13980e+00, 9.36849e-02, 8.39225e-02
6.69796e+00, 8.03755e+00, 7.36776e+00, 5.76163e-02, 4.30103e-02
8.03755e+00, 9.64506e+00, 8.84131e+00, 2.79349e-02, 1.73778e-02
9.64506e+00, 1.15741e+01, 1.06096e+01, 1.02036e-02, 5.28954e-03
1.15741e+01, 1.38889e+01, 1.27315e+01, 2.66076e-03, 1.14945e-03
1.38889e+01, 1.66667e+01, 1.52778e+01, 4.64774e-04, 1.67319e-04
1.66667e+01, 2.00000e+01, 1.83333e+01, 3.02623e-06, 9.07869e-07
